XxY	3xY	Xx3
196	352	382
202	364	360
212	380	378
194	368	348
220	386	380
180	382	364
202	374	378
198	344	384
210	354	376
210	356	366
196	388	374
216	396	360
212	380	354
200	396	376
188	380	378
194	366	348
198	370	368
222	370	378
196	362	356
194	348	366
212	352	384
202	366	366
208	372	404
206	364	346
216	362	376
202	362	358
190	354	376
220	368	358
186	376	370
212	358	380
212	356	366
194	368	382
210	370	390
196	374	386
208	374	386
214	374	394
206	358	384
204	376	376
202	382	388
198	398	358
214	364	380
196	358	348
218	368	372
198	356	390
196	370	380
198	362	360
206	370	364
204	364	372
200	368	342
204	362	354
192	376	366
218	368	362
226	372	370
200	376	348
196	380	368
192	350	368
210	388	378
206	374	360
202	372	374
208	354	376
192	372	362
226	364	380
196	372	410
208	348	362
216	380	350
200	392	376
208	342	378
194	354	376
200	372	382
194	354	370
206	376	394
204	378	348
216	380	374
204	376	378
184	394	380
178	380	396
216	364	376
212	382	396
190	356	378
204	338	366
188	342	384
200	354	364
200	398	314
206	364	372
200	364	340
212	368	378
176	386	356
178	358	396
204	362	386
210	356	354
204	364	364
214	376	368
200	382	360
194	336	354
208	366	344
206	376	382
214	374	362
198	386	390
196	384	380
188	360	360
212	366	380
212	396	396
212	378	348
184	348	366
202	366	356
212	374	340
216	372	332
204	370	366
222	390	386
186	328	362
192	382	378
180	374	358
186	354	364
196	372	366
216	354	340
204	384	376
230	404	386
208	368	360
208	360	372
200	364	346
196	354	370
204	354	358
194	352	352
196	376	392
200	380	392
192	386	354
200	394	378
212	370	356
206	394	368
194	354	424
202	364	366
208	346	354
214	378	370
190	364	366
214	366	376
198	386	384
220	360	322
208	378	358
202	394	370
210	366	368
216	386	358
194	364	398
214	382	392
218	370	356
200	348	366
216	346	366
206	402	390
208	352	380
196	368	388
212	334	388
196	406	366
216	394	394
210	386	348
204	366	372
200	368	366
180	368	364
196	374	352
190	384	402
226	388	350
196	382	368
206	376	360
188	372	388
224	398	380
216	398	382
182	394	362
188	362	378
188	340	358
210	368	372
206	358	366
196	376	360
196	384	364
212	376	358
204	362	364
204	362	404
200	384	364
216	416	380
216	396	362
204	366	374
198	364	374
202	368	368
210	372	356
204	364	358
206	380	364
192	358	402
210	364	362
222	376	374
210	394	368
208	356	384
208	388	366
202	354	348
214	358	344
200	378	384
222	386	356
200	364	350
188	368	344
210	362	358
206	378	378
202	376	350
208	374	392
206	358	362
192	378	404
220	364	380
210	352	354
194	358	372
212	372	368
218	388	356
206	378	376
198	360	344
220	358	374
210	350	352
178	390	372
206	370	368
186	368	354
206	366	392
222	382	362
192	344	366
208	374	364
206	378	358
196	384	342
190	366	358
196	346	390
204	372	396
198	344	366
208	366	350
204	366	400
196	358	378
208	376	368
214	342	370
188	370	352
208	378	360
196	360	374
224	378	338
206	358	360
216	370	376
206	378	352
194	372	376
206	364	384
202	382	362
196	370	352
194	372	372
202	374	386
218	372	364
198	360	392
188	340	342
196	368	382
200	386	362
192	366	360
212	366	394
206	372	380
208	366	386
200	360	372
220	354	384
212	372	350
194	344	370
206	340	360
192	368	354
200	392	356
194	372	382
202	362	384
196	382	382
200	394	388
222	362	372
210	364	382
220	358	380
222	354	344
200	378	374
180	366	384
202	364	370
200	368	376
222	370	356
216	348	356
208	358	364
210	378	362
210	384	352
206	374	392
200	370	368
206	370	374
188	368	356
196	362	358
208	386	408
216	366	370
196	364	352
212	384	336
198	342	354
218	370	376
204	378	364
212	348	362
214	370	368
204	376	404
194	360	372
208	356	372
202	382	354
218	388	372
198	402	398
202	356	358
206	400	366
202	362	384
196	372	354
190	376	360
200	402	372
196	364	362
200	380	370
210	376	388
190	344	356
188	388	386
200	374	334
196	344	356
202	370	364
208	374	368
208	398	384
208	374	354
196	372	376
206	390	376
196	362	372
218	370	394
198	358	340
214	354	384
202	380	380
208	376	372
214	366	372
192	386	370
216	366	344
196	394	338
222	348	376
202	374	346
206	364	344
198	384	334
200	408	358
216	382	376
200	354	370
212	386	366
206	392	350
200	380	370
200	340	352
204	380	372
202	374	374
198	360	396
198	362	376
224	386	340
206	376	348
210	366	368
212	348	372
208	378	368
198	352	366
206	386	384
214	392	336
210	344	360
194	398	364
210	376	366
216	394	356
192	362	384
224	382	394
208	342	366
206	370	394
190	356	344
196	354	394
196	392	372
202	362	360
202	388	354
202	378	364
180	366	366
196	364	360
210	350	384
216	368	368
214	356	372
206	398	378
198	394	384
212	394	378
210	360	362
200	380	374
192	338	376
222	376	370
212	382	404
192	368	382
196	384	396
192	374	382
200	382	366
210	394	376
194	388	356
194	372	348
212	384	362
198	356	384
218	386	394
216	356	362
204	382	394
204	378	352
216	354	346
190	384	378
216	362	366
178	396	374
206	360	384
208	362	386
208	378	364
212	368	384
214	366	364
210	344	360
204	356	378
188	386	360
202	360	370
180	364	346
204	346	370
204	364	404
216	394	372
202	356	344
194	366	344
206	358	384
196	408	378
200	386	396
206	398	346
230	370	354
196	362	394
194	400	376
186	384	392
216	344	386
204	352	334
194	332	340
206	378	362
212	376	368
218	362	358
200	342	376
192	352	354
200	364	362
198	400	360
200	352	358
212	368	378
208	342	374
200	380	368
200	406	362
214	374	368
196	382	356
220	384	362
198	354	352
204	366	382
202	372	380
212	382	372
190	360	382
206	390	364
200	370	386
204	360	352
202	368	354
202	404	384
206	382	346
194	380	384
202	406	362
194	356	364
188	374	376
222	356	356
204	348	380
194	360	394
206	376	368
210	380	384
198	398	374
216	334	372
204	354	400
206	370	382
210	374	368
210	376	376
216	362	372
200	350	354
198	386	356
208	368	362
194	380	354
222	370	366
198	366	374
202	366	384
214	356	360
206	358	362
206	402	372
210	362	374
210	350	368
200	380	376
194	366	382
202	384	382
220	370	358
190	384	390
202	378	378
188	354	376
206	378	364
202	400	388
204	366	370
206	338	364
208	376	382
212	356	358
212	356	354
216	370	382
198	372	372
198	350	362
202	390	380
196	398	352
214	400	350
214	336	376
200	378	374
196	354	386
202	386	350
220	370	368
196	386	378
194	380	372
200	366	386
212	372	346
212	358	370
198	370	358
188	362	386
190	400	360
208	346	404
210	354	354
192	392	362
212	386	360
194	354	366
198	346	384
226	374	372
202	342	370
184	378	384
216	366	376
220	374	352
190	384	372
196	384	370
196	364	362
192	368	372
218	366	376
196	366	358
194	356	368
196	370	374
196	370	366
208	352	376
192	380	372
202	384	356
206	388	356
206	384	366
214	394	356
196	366	368
216	374	360
212	386	388
182	378	364
202	372	394
204	376	366
204	380	362
208	382	374
204	392	332
198	418	392
204	386	394
210	360	352
218	388	368
208	364	362
198	362	374
210	370	352
218	374	364
208	366	368
212	392	342
214	388	388
210	372	342
210	358	374
206	384	366
218	364	370
224	366	358
192	378	384
210	360	364
198	390	366
194	394	388
224	366	350
192	362	362
192	388	398
214	388	380
186	364	368
210	410	388
190	370	350
208	368	382
200	358	390
196	342	390
190	370	382
224	372	380
206	356	342
218	348	378
198	372	342
204	348	368
206	368	388
208	358	358
204	364	356
206	374	386
204	384	380
198	360	370
204	356	358
202	384	376
202	342	380
202	364	368
196	374	376
208	360	344
208	358	360
220	402	382
178	354	372
198	342	362
206	370	376
216	370	354
192	400	364
190	352	384
212	354	348
222	370	358
200	398	384
210	382	398
188	374	386
214	366	368
198	366	392
192	334	382
224	364	370
214	358	370
228	370	384
206	356	372
216	348	384
226	368	374
218	354	334
210	372	364
180	376	356
206	366	362
200	374	364
218	356	362
212	384	338
220	366	338
196	366	366
208	394	362
190	382	370
214	346	388
194	352	380
210	372	368
